name,base_candidate,strategy,class_weight,negative_multiplier,negative_threshold,complexity_rank,cv_folds,cv_fit_seconds,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_positive_precision,oof_positive_recall,oof_positive_f1_score,oof_average_precision,oof_average_recall,oof_average_f1_score,oof_negative_precision,oof_negative_recall,oof_negative_f1_score,oof_confusion_matrix,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_positive_precision_mean,cv_positive_precision_std,cv_positive_recall_mean,cv_positive_recall_std,cv_positive_f1_score_mean,cv_positive_f1_score_std,cv_average_precision_mean,cv_average_precision_std,cv_average_recall_mean,cv_average_recall_std,cv_average_f1_score_mean,cv_average_f1_score_std,cv_negative_precision_mean,cv_negative_precision_std,cv_negative_recall_mean,cv_negative_recall_std,cv_negative_f1_score_mean,cv_negative_f1_score_std,oof_dutch_macro_f1,oof_dutch_negative_precision,oof_dutch_negative_recall,oof_dutch_negative_f1_score,oof_english_macro_f1,oof_english_negative_precision,oof_english_negative_recall,oof_english_negative_f1_score
random_oversample_negative_x2__0.40,random_oversample_negative_x2,random_oversampling,none,2,0.40,6,5,83.88137745810673,0.655549765502866,0.5227541535420913,0.553762641790613,0.6648381788261108,0.6737076153418566,0.669243511871894,0.6396946564885496,0.6987215119510839,0.6679064824654622,0.94,0.19583333333333333,0.32413793103448274,"[[1212, 585, 2], [541, 1257, 1], [70, 123, 47]]",0.6555512548891785,0.010188654359788496,0.5227558547405343,0.021427093464324382,0.5524685554036755,0.029666715345714068,0.6648485320101687,0.007169015340120416,0.6737217579696688,0.02520339150723074,0.6690316226154864,0.013947388519263946,0.6401026405723271,0.013690011710886433,0.698712472918601,0.01614160025637568,0.6678997145518052,0.008207960380302191,0.9457264957264957,0.045780382019972934,0.19583333333333333,0.05368374469468803,0.3204743290437347,0.07636282110618009,0.5569529607407896,0.94,0.2025862068965517,0.3333333333333333,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x2__argmax,random_oversample_negative_x2,random_oversampling,none,2,argmax,5,5,83.88137745810673,0.6550286607608129,0.5211799765301711,0.5512821546934502,0.6646542261251372,0.6731517509727627,0.6688760011046673,0.6393692777212614,0.6987215119510839,0.6677290836653387,0.92,0.19166666666666668,0.31724137931034485,"[[1211, 585, 3], [541, 1257, 1], [70, 124, 46]]",0.6550300820295524,0.01011651784603148,0.5211822965026308,0.02095649028201063,0.5502281400552006,0.02931038958650884,0.6646598039460011,0.007346459020675654,0.6731662024141134,0.02544348485286048,0.6686607456523864,0.014175253680841328,0.6397591383023559,0.013022913035250981,0.6987140204271124,0.01610991769719756,0.6677163430961603,0.007693077611026191,0.9095959595959595,0.05379202810381554,0.19166666666666668,0.0517069735249619,0.31430733141705486,0.07549236785420435,0.5543951290256032,0.92,0.19827586206896552,0.3262411347517731,0.29377971770988015,0.0,0.0,0.0
negative_weight_3__argmax,negative_weight_3,class_weight,"{""Average"": 1, ""Negative"": 3, ""Positive"": 1}",1,argmax,1,5,81.88917525112629,0.6620635747785305,0.5634943795936014,0.6048762075281823,0.6688778330569375,0.6725958866036688,0.6707317073170732,0.6450617283950617,0.6970539188438021,0.6700507614213198,0.9058823529411765,0.32083333333333336,0.47384615384615386,"[[1210, 585, 4], [541, 1254, 4], [58, 105, 77]]",0.6620647272924814,0.012609242534177143,0.5634955638089342,0.026948001016123282,0.6036943372784972,0.03225204383350954,0.6688274606201242,0.008633609420249513,0.6726075518415351,0.025522175172757882,0.6705207900894433,0.015445546082876408,0.6454900524367269,0.015073575347882142,0.6970458062519345,0.012623229446212162,0.6700918147851128,0.00846819340709008,0.905151515151515,0.06532816081171519,0.32083333333333336,0.06535161308899218,0.47047040696093545,0.07902534822324203,0.6091312536879318,0.9058823529411765,0.33189655172413796,0.48580441640378547,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x3__0.40,random_oversample_negative_x3,random_oversampling,none,3,0.40,7,5,88.05858821887523,0.6568525273579989,0.5333094002841084,0.5676547377219522,0.6652030735455543,0.6737076153418566,0.6694283347141674,0.6414322250639386,0.6970539188438021,0.6680873734683005,0.9016393442622951,0.22916666666666666,0.3654485049833887,"[[1212, 584, 3], [542, 1254, 3], [68, 117, 55]]",0.6568536777488049,0.011091135874907032,0.5333098627875786,0.021530567020921116,0.5663646126707271,0.02873375281566145,0.6652212791398198,0.008912659607316005,0.6737186629526463,0.027294130906670516,0.6691839491220761,0.015558519716872696,0.6418353351789762,0.013757625281570311,0.697044258743423,0.015412341854520287,0.6680893746384275,0.008222973822741217,0.9024725274725274,0.054406703274396846,0.22916666666666666,0.05590169943749474,0.36182051425167794,0.07499419826318703,0.5710983604885119,0.9016393442622951,0.23706896551724138,0.37542662116040953,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x3__argmax,random_oversample_negative_x3,random_oversampling,none,3,argmax,6,5,88.05858821887523,0.6584158415841584,0.5428463343832993,0.5799053503143897,0.6659340659340659,0.6737076153418566,0.6697982868195634,0.6428937916880452,0.6964980544747081,0.6686232657417289,0.8985507246376812,0.25833333333333336,0.40129449838187703,"[[1212, 584, 3], [542, 1253, 4], [66, 112, 62]]",0.6584175358539766,0.012009077253156428,0.5428474156607861,0.02424581477353064,0.5786396703268444,0.031492761176692446,0.6659123138457834,0.010006838961298786,0.6737186629526463,0.027294130906670516,0.6695620128453721,0.016487386352456144,0.6433121906989656,0.013773198229028536,0.6964902506963788,0.014160082224277917,0.668638744166907,0.00743740032421512,0.8958333333333334,0.053229064742237694,0.25833333333333336,0.05980291706003052,0.39771825396825394,0.07939012501636068,0.5836087671576297,0.8985507246376812,0.2672413793103448,0.4119601328903654,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x2__0.35,random_oversample_negative_x2,random_oversampling,none,2,0.35,6,5,83.88137745810673,0.6560708702449193,0.5291427336174418,0.5619899053407598,0.6653846153846154,0.6731517509727627,0.6692456479690522,0.6403061224489796,0.697609783212896,0.667730779462623,0.896551724137931,0.21666666666666667,0.348993288590604,"[[1211, 585, 3], [541, 1255, 3], [68, 120, 52]]",0.656072088222512,0.010375746325274821,0.5291442277932529,0.02016016729755214,0.5609542335807798,0.027156997060345082,0.6654190705566122,0.008107464712420073,0.6731662024141134,0.02544348485286048,0.6690344489473757,0.01416133098253808,0.6406802576668811,0.01319001113439838,0.6975998142989787,0.015755375139924702,0.6677207431756463,0.008115474640036088,0.896043956043956,0.05974375818312834,0.21666666666666665,0.05034602488997738,0.34610750861931744,0.06916641133227792,0.565307060280216,0.896551724137931,0.22413793103448276,0.3586206896551724,0.29377971770988015,0.0,0.0,0.0
negative_weight_3__0.40,negative_weight_3,class_weight,"{""Average"": 1, ""Negative"": 3, ""Positive"": 1}",1,0.40,2,5,81.88917525112629,0.6581552892131318,0.542661046260268,0.5793515397584464,0.6662995594713657,0.6725958866036688,0.669432918395574,0.6424180327868853,0.6970539188438021,0.6686217008797654,0.8857142857142857,0.25833333333333336,0.4,"[[1210, 585, 4], [541, 1254, 4], [65, 113, 62]]",0.6581561006084311,0.012012575285405782,0.5426617146394305,0.026600890224037145,0.577601010932004,0.03481126725990562,0.6663151826056583,0.008786584255761206,0.6726075518415351,0.025522175172757882,0.6692229926913302,0.014751242166872151,0.6428824227790486,0.015523016662675944,0.697044258743423,0.014268484998648152,0.6686539939286358,0.008932394457270018,0.8822619047619048,0.028393293897010185,0.25833333333333336,0.06795627679291705,0.39492604617604615,0.09014370570116426,0.5830429484595451,0.8857142857142857,0.2672413793103448,0.4105960264900662,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x2__0.30,random_oversample_negative_x2,random_oversampling,none,2,0.30,6,5,83.88137745810673,0.6610213652944242,0.5567352232721883,0.5959946868226279,0.6683222958057395,0.6731517509727627,0.6707283301024647,0.6450617283950617,0.6970539188438021,0.6700507614213198,0.8780487804878049,0.3,0.4472049689440994,"[[1211, 582, 6], [541, 1254, 4], [60, 108, 72]]",0.6610230606258148,0.011811196590901664,0.5567368203858455,0.028674242863278725,0.5942433316101339,0.03549660450828025,0.6683731519067102,0.008743588104933085,0.6731662024141134,0.02544348485286048,0.6705204682266654,0.014301132956913732,0.6455293006305775,0.014821595933615064,0.697044258743423,0.016193567842365347,0.6700537980693743,0.008554273917029656,0.8775025799793601,0.05987987278897542,0.30000000000000004,0.07406828681096325,0.4421557285343617,0.09132674703002121,0.6000547613768481,0.8780487804878049,0.3103448275862069,0.4585987261146497,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x3__0.35,random_oversample_negative_x3,random_oversampling,none,3,0.35,7,5,88.05858821887523,0.6618030224075039,0.5633090914705701,0.6030163275079957,0.6683222958057395,0.6731517509727627,0.6707283301024647,0.6463603510583377,0.6959421901056142,0.6702355460385439,0.8651685393258427,0.32083333333333336,0.46808510638297873,"[[1211, 581, 7], [542, 1252, 5], [59, 104, 77]]",0.6618039710995219,0.012775201868609027,0.5633088311152379,0.027380634416830366,0.6016487244073219,0.031691267750041656,0.6683306353441337,0.009820400927582011,0.6731615598885794,0.026908485249165556,0.6704964440751497,0.01596112808352801,0.646856425302009,0.01579768579851349,0.6959316001238007,0.016365270465961975,0.6702481309305449,0.009423044984781533,0.8679957469431153,0.05799558100582264,0.3208333333333333,0.06666666666666667,0.46420159821627066,0.07614235684397891,0.6071624575849318,0.8651685393258427,0.33189655172413796,0.4797507788161994,0.29377971770988015,0.0,0.0,0.0
negative_weight_5__0.40,negative_weight_5,class_weight,"{""Average"": 1, ""Negative"": 5, ""Positive"": 1}",1,0.40,3,5,82.43439701921307,0.6657113079729026,0.5901604286331912,0.6307253173414895,0.6699944536882972,0.6714841578654808,0.6707384786229872,0.6503642039542143,0.6948304613674263,0.6718624025799517,0.8584070796460177,0.4041666666666667,0.5495750708215298,"[[1208, 583, 8], [541, 1250, 8], [54, 89, 97]]",0.6657122582572794,0.012065688044649747,0.5901591354585783,0.02785733265724705,0.629310121468229,0.029944335098207694,0.6700049391296856,0.00972316193402003,0.6714933457134015,0.024627137382934015,0.670548276183079,0.014976789483201625,0.6507396692391406,0.014713283012390024,0.694817393995667,0.016954776420391317,0.6718483693921141,0.010358743453839834,0.8603653029739986,0.05519083705031185,0.4041666666666666,0.07523112535528247,0.5455337188294934,0.07628518139032743,0.6353243552163487,0.8584070796460177,0.41810344827586204,0.5623188405797102,0.29377971770988015,0.0,0.0,0.0
