name,kind,macro_f1,balanced_accuracy,negative_precision,negative_recall,negative_f1,ordinal_mae,quadratic_weighted_kappa,adjacent_error_rate,severe_error_rate,severe_cost,alpha,class_weighting,lower_threshold,upper_threshold
cost_sensitive_severe_4,cost_sensitive_decision,0.49727784224494814,0.4865357297263912,0.9090909090909091,0.16666666666666666,0.28169014084507044,0.38483585200625325,0.34729279647418854,0.3822303282959875,0.0013027618551328818,4.0,,,,
cost_sensitive_severe_3,cost_sensitive_decision,0.5365585271928678,0.5120977703662528,0.9090909090909091,0.20833333333333334,0.3389830508474576,0.36685773840541946,0.39142107549130656,0.36216779572694113,0.002344971339239187,3.0,,,,
cost_sensitive_severe_2,cost_sensitive_decision,0.6054861500605121,0.5672904700142054,0.8791208791208791,0.3333333333333333,0.48338368580060426,0.34210526315789475,0.45235538246774,0.33324648254299116,0.004429390307451798,2.0,,,,
ridge_balanced_alpha_10,ordinal_ridge_regression,0.5960798645239124,0.5896701871410043,0.6255924170616114,0.55,0.5853658536585366,0.4007295466388744,0.4037736306809945,0.3877019280875456,0.006513809275664409,,10.0,balanced,1.9,2.3
ridge_balanced_alpha_1,ordinal_ridge_regression,0.5912474682267405,0.5895844913841023,0.5234042553191489,0.5125,0.5178947368421053,0.38822303282959875,0.441577901882355,0.3699843668577384,0.009119332985930172,,1.0,balanced,1.9,2.4
ridge_unweighted_alpha_0.1,ordinal_ridge_regression,0.5411326481637189,0.5269895312210487,0.47368421052631576,0.3375,0.39416058394160586,0.4051589369463262,0.3814538608763851,0.38692027097446585,0.009119332985930172,,0.1,unweighted,1.8,2.5
ridge_unweighted_alpha_10,ordinal_ridge_regression,0.5770990853715775,0.5711691680563277,0.4528301886792453,0.4,0.4247787610619469,0.36868160500260555,0.46540423101227346,0.349921834288692,0.009379885356956748,,10.0,unweighted,2.2,2.4
ridge_balanced_alpha_0.1,ordinal_ridge_regression,0.5434922857377821,0.5312480699153851,0.4696132596685083,0.3541666666666667,0.40380047505938244,0.40620114643043254,0.38263554539772016,0.38744137571651904,0.009379885356956748,,0.1,balanced,1.8,2.5
ridge_unweighted_alpha_1,ordinal_ridge_regression,0.5636480415102955,0.5741198814156012,0.41007194244604317,0.475,0.44015444015444016,0.3986451276706618,0.43848245195954094,0.3725898905680042,0.013027618551328817,,1.0,unweighted,2.0,2.4
baseline_argmax,multiclass_logistic_regression,0.6484564362831063,0.6220114569822741,0.7333333333333333,0.5041666666666667,0.5975308641975309,0.34679520583637313,0.45438237885393873,0.31344450234497134,0.016675351745700884,,,,,
